com.samsung.health.heart_rate,6000085,7
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2018-06-13 17:35:30.162,UTC-0300,64.0,0,,2018-06-13 17:35:20.826,64.0,avnWu77KPA,2018-06-13 17:35:20.826,com.sec.android.app.shealth,2018-06-13 17:35:30.162,64.0,,0107ac96-023b-42ef-9467-35db4bda31b0,
2018-05-22 14:37:06.642,UTC-0300,56.0,0,,2018-05-22 14:36:51.807,56.0,avnWu77KPA,2018-05-22 14:36:51.807,com.sec.android.app.shealth,2018-05-22 14:37:06.642,56.0,,01a61a4c-a49a-46c0-9f4c-692b0ec69ea1,
2018-06-27 23:16:13.463,UTC-0600,67.0,0,,2018-06-27 23:16:03.254,67.0,avnWu77KPA,2018-06-27 23:16:03.254,com.sec.android.app.shealth,2018-06-27 23:16:13.463,67.0,,02227364-3643-4759-ae11-f032870a4eed,
2018-08-31 22:37:25.406,UTC-0300,80.0,0,,2018-08-31 22:37:16.468,80.0,dgrrqaEJmv,2018-08-31 22:37:16.468,com.sec.android.app.shealth,2018-08-31 22:37:25.406,80.0,,02896d4c-c345-49b9-9009-66b5f54a59bd,
2018-06-11 23:15:48.498,UTC-0300,59.0,0,,2018-06-11 23:15:38.095,59.0,avnWu77KPA,2018-06-11 23:15:38.095,com.sec.android.app.shealth,2018-06-11 23:15:48.498,59.0,,02deb3d6-904c-4168-8ca7-2e38f4b1e7e5,
2018-08-27 03:31:06.959,UTC-0300,107.0,0,,2018-08-27 03:31:03.616,107.0,dgrrqaEJmv,2018-08-27 03:31:03.616,com.sec.android.app.shealth,2018-08-27 03:31:06.959,107.0,,02e2da56-08c6-4d82-a246-0d92bf586ac8,
2018-06-14 21:09:34.705,UTC-0300,70.0,0,,2018-06-14 21:09:21.510,70.0,avnWu77KPA,2018-06-14 21:09:21.510,com.sec.android.app.shealth,2018-06-14 21:09:34.705,70.0,,0321db6d-e204-440e-a762-c742824f3745,
2018-08-23 01:25:07.857,UTC-0300,95.0,0,,2018-08-23 01:25:01.323,95.0,dgrrqaEJmv,2018-08-23 01:25:01.323,com.sec.android.app.shealth,2018-08-23 01:25:07.857,95.0,,033dc861-b2e1-4fea-96ca-ee18c9bd4d0c,
2018-09-12 18:39:07.017,UTC-0300,65.0,0,,2018-09-12 18:38:52.817,65.0,dgrrqaEJmv,2018-09-12 18:38:52.817,com.sec.android.app.shealth,2018-09-12 18:39:07.017,65.0,,035340a1-0626-45f7-8915-645a638c5e3d,
2018-08-14 05:00:10.989,UTC-0500,85.0,0,,2018-08-14 04:59:57.809,85.0,dgrrqaEJmv,2018-08-14 04:59:57.809,com.sec.android.app.shealth,2018-08-14 05:00:10.989,85.0,,03bc8ae4-9418-46cd-bd31-888c14ca0055,
2018-08-14 18:47:42.303,UTC-0500,70.0,0,,2018-08-14 18:47:29.967,70.0,dgrrqaEJmv,2018-08-14 18:47:29.967,com.sec.android.app.shealth,2018-08-14 18:47:42.303,70.0,,03d4a488-b205-4629-bf1d-3c4f12522e3d,
2018-06-04 02:53:40.690,UTC-0300,77.0,0,,2018-06-04 02:53:37.014,77.0,avnWu77KPA,2018-06-04 02:53:37.014,com.sec.android.app.shealth,2018-06-04 02:53:40.690,77.0,,0407975a-7b01-4891-9c05-705c6db6f360,
2018-06-25 20:32:26.545,UTC-0600,83.0,0,,2018-06-25 20:32:14.880,83.0,avnWu77KPA,2018-06-25 20:32:14.880,com.sec.android.app.shealth,2018-06-25 20:32:26.545,83.0,,040faebb-3b0b-4e79-91cb-daa61f9d3e26,
2018-05-29 21:50:30.626,UTC-0300,82.0,0,,2018-05-29 21:50:13.056,82.0,avnWu77KPA,2018-05-29 21:50:13.056,com.sec.android.app.shealth,2018-05-29 21:50:30.626,82.0,,04f97ee7-82fb-49fd-a983-f4dae04bc533,
2018-08-03 16:22:23.625,UTC-0300,71.0,0,,2018-08-03 16:22:08.379,71.0,dgrrqaEJmv,2018-08-03 16:22:08.379,com.sec.android.app.shealth,2018-08-03 16:22:23.625,71.0,,050b48d5-e04d-410e-bb17-4233c4a76a58,
2018-05-22 20:54:16.981,UTC-0300,61.0,0,,2018-05-22 20:54:00.910,61.0,avnWu77KPA,2018-05-22 20:54:00.910,com.sec.android.app.shealth,2018-05-22 20:54:16.981,61.0,,053a0535-e564-4b6b-abd0-caa16930ea02,
2018-08-04 05:23:04.756,UTC-0300,77.0,0,,2018-08-04 05:22:58.307,77.0,dgrrqaEJmv,2018-08-04 05:22:58.307,com.sec.android.app.shealth,2018-08-04 05:23:04.756,77.0,,069de2c8-20cb-4b0e-aea3-6b5975ea8d96,
2018-08-09 15:09:08.061,UTC-0400,77.0,0,,2018-08-09 15:08:59.911,77.0,dgrrqaEJmv,2018-08-09 15:08:59.911,com.sec.android.app.shealth,2018-08-09 15:09:08.061,77.0,,06ab7578-18b8-4804-89a6-7cd0254a3ec5,
2018-06-03 01:32:50.903,UTC-0300,73.0,0,,2018-06-03 01:32:31.399,73.0,avnWu77KPA,2018-06-03 01:32:31.399,com.sec.android.app.shealth,2018-06-03 01:32:50.903,73.0,,07417ec6-74ac-441d-ac64-e7b3bca0975b,
2018-07-25 16:47:56.482,UTC-0300,76.0,0,,2018-07-25 16:47:46.354,76.0,dgrrqaEJmv,2018-07-25 16:47:46.354,com.sec.android.app.shealth,2018-07-25 16:47:56.482,76.0,,075e0fbf-9900-488d-9feb-59fba04cffe4,
2018-08-19 05:12:58.484,UTC-0300,82.0,0,,2018-08-19 05:12:51.382,82.0,dgrrqaEJmv,2018-08-19 05:12:51.382,com.sec.android.app.shealth,2018-08-19 05:12:58.484,82.0,,07bde0d3-8d7b-4f88-b165-1b90fac50dda,
2018-08-12 23:27:06.414,UTC-0400,74.0,0,,2018-08-12 23:26:56.458,74.0,dgrrqaEJmv,2018-08-12 23:26:56.458,com.sec.android.app.shealth,2018-08-12 23:27:06.414,74.0,,07fff4f5-723e-4b00-ab3b-862b367f448e,
