com.samsung.health.step_count,5802009,5
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2018-07-13 17:03:05.888,15.28,UTC-0300,,22,2018-07-13 17:03:00.000,1.25,avnWu77KPA,2018-07-13 17:02:00.000,com.sec.android.app.shealth,2018-07-13 17:03:05.888,000d8ecb-fab9-4963-a12b-930bea467c55,0.66,
2018-07-05 02:48:44.543,52.51,UTC-0600,,82,2018-07-05 02:49:00.000,1.299048,avnWu77KPA,2018-07-05 02:48:00.000,com.sec.android.app.shealth,2018-07-05 02:49:01.653,0013bc1b-fa93-4690-9c9f-8d991e4a77c8,2.99,
2018-08-03 21:48:12.271,28.64,UTC-0300,,37,2018-08-03 21:48:00.000,2.4166667,dgrrqaEJmv,2018-08-03 21:47:00.000,com.sec.android.app.shealth,2018-08-03 21:48:12.271,00164255-9112-4654-846b-b3eea2318ed1,1.05,
2018-07-05 05:46:43.811,18.94,UTC-0600,,17,2018-07-05 05:47:00.000,2.4231236,avnWu77KPA,2018-07-05 05:46:00.000,com.sec.android.app.shealth,2018-07-05 05:46:48.002,002a0222-541f-4c33-9965-6e106ac9cfcb,1.0999999,
2018-07-23 17:05:09.362,23.07,UTC-0300,,33,2018-07-23 17:03:00.000,1.3055556,dgrrqaEJmv,2018-07-23 17:02:00.000,com.sec.android.app.shealth,2018-07-23 17:05:09.362,0049de3f-dc43-478f-a415-332ec757cc77,0.99,
2018-08-06 16:22:30.999,17.0,UTC-0300,,24,2018-08-06 16:23:00.000,1.25,dgrrqaEJmv,2018-08-06 16:22:00.000,com.sec.android.app.shealth,2018-08-06 16:22:30.999,00518a5a-b607-462f-a852-aef46b9727a2,0.71,
2018-08-02 03:14:55.840,47.83,UTC-0300,,67,2018-08-02 03:01:00.000,1.3055556,dgrrqaEJmv,2018-08-02 03:00:00.000,com.sec.android.app.shealth,2018-08-02 03:14:55.840,005669e1-1a78-4684-b9ab-8d09294a0a42,1.99,
2018-07-07 19:54:56.367,51.42,UTC-0600,,73,2018-07-07 19:53:00.000,1.3055556,avnWu77KPA,2018-07-07 19:52:00.000,com.sec.android.app.shealth,2018-07-07 19:54:56.367,006407fe-3a2b-48bd-aff5-76db0958cb0e,2.18,
2018-07-19 13:35:13.665,62.51,UTC-0300,,101,2018-07-19 13:25:00.000,1.2777778,dgrrqaEJmv,2018-07-19 13:24:00.000,com.sec.android.app.shealth,2018-07-19 13:35:13.665,007af86f-de91-47dc-b133-85ea3da9a5a9,3.02,
2018-07-25 20:13:57.371,69.4,UTC-0300,,101,2018-07-25 20:12:00.000,1.1566666,dgrrqaEJmv,2018-07-25 20:11:00.000,com.sec.android.app.shealth,2018-07-25 20:13:57.371,00aad2eb-396c-43ad-ab20-139d3757aca0,3.03,
2018-07-14 00:16:01.496,85.729996,UTC-0300,,117,2018-07-14 00:17:00.000,1.5431077,avnWu77KPA,2018-07-14 00:16:00.000,com.sec.android.app.shealth,2018-07-14 00:18:46.391,00ca6bef-3343-4f16-a791-7584ea8df11a,3.5099998,
2018-07-05 22:34:11.248,75.07,UTC-0600,,105,2018-07-05 22:33:00.000,1.3333334,avnWu77KPA,2018-07-05 22:32:00.000,com.sec.android.app.shealth,2018-07-05 22:34:11.248,00cbfe64-1edc-4df6-9eb2-d463b21017e5,3.13,
2018-08-02 22:20:20.852,30.869993,UTC-0300,,44,2018-08-02 22:21:00.000,1.259057,dgrrqaEJmv,2018-08-02 22:20:00.000,com.sec.android.app.shealth,2018-08-02 22:34:48.772,00cdeda8-f577-46ad-aa35-4c1bfd758b2e,1.2599995,
2018-07-24 22:46:21.742,84.07,UTC-0300,,115,2018-07-24 22:41:00.000,1.4722222,dgrrqaEJmv,2018-07-24 22:40:00.000,com.sec.android.app.shealth,2018-07-24 22:46:21.742,00d51909-bc88-451f-aeac-ab67f32ae94f,3.56,
2018-07-30 20:25:19.664,12.29,UTC-0300,,18,2018-07-30 20:24:00.000,1.0277778,dgrrqaEJmv,2018-07-30 20:23:00.000,com.sec.android.app.shealth,2018-07-30 20:25:19.664,00e6dd7d-3962-4f7d-87ff-b6bd56fdf62b,0.54,
2018-07-14 15:56:09.751,51.02,UTC-0300,,118,2018-07-14 15:49:00.000,1.2777778,avnWu77KPA,2018-07-14 15:48:00.000,com.sec.android.app.shealth,2018-07-14 15:56:09.751,00fc51d6-3180-4eab-a6c5-9c06e85a6ac1,3.54,
2018-07-22 20:34:59.454,71.46,UTC-0300,,103,2018-07-22 20:24:00.000,1.2222222,dgrrqaEJmv,2018-07-22 20:23:00.000,com.sec.android.app.shealth,2018-07-22 20:34:59.454,00fe6bd5-6645-4d1e-aad4-f52c241c82b6,3.09,
2018-08-01 15:54:55.937,77.7,UTC-0300,,111,2018-08-01 15:44:00.000,1.2949998,dgrrqaEJmv,2018-08-01 15:43:00.000,com.sec.android.app.shealth,2018-08-01 15:54:55.937,010c3f19-c859-46a6-96da-ea5b077ee98b,3.33,
2018-07-23 22:42:00.296,75.68999,UTC-0300,,109,2018-07-23 22:43:00.000,1.2614996,dgrrqaEJmv,2018-07-23 22:42:00.000,com.sec.android.app.shealth,2018-07-23 22:43:12.675,01287050-bf04-4c8d-9856-5ea442da4b83,3.269998,
2018-07-05 22:05:58.915,70.85,UTC-0600,,101,2018-07-05 22:05:00.000,1.2777778,avnWu77KPA,2018-07-05 22:04:00.000,com.sec.android.app.shealth,2018-07-05 22:05:58.915,012c8920-3706-477a-9f31-4d95bf0634ba,3.03,
2018-07-07 20:28:32.505,69.66,UTC-0600,,100,2018-07-07 20:28:00.000,1.1944444,avnWu77KPA,2018-07-07 20:27:00.000,com.sec.android.app.shealth,2018-07-07 20:28:32.505,013bc92c-60b1-4f28-bbef-222d820ea99a,2.99,
2018-07-18 23:06:52.244,36.2,UTC-0300,,56,2018-07-18 23:07:00.000,1.2777778,dgrrqaEJmv,2018-07-18 23:06:00.000,com.sec.android.app.shealth,2018-07-18 23:06:52.244,013df706-9512-470d-9b02-b80e3d4ab5d6,1.68,
2018-08-05 22:50:58.337,18.96,UTC-0300,,27,2018-08-05 22:44:00.000,1.3055556,dgrrqaEJmv,2018-08-05 22:43:00.000,com.sec.android.app.shealth,2018-08-05 22:50:58.337,013f268b-ac64-4e03-b3c4-47a3f67eab0d,0.81,
2018-08-04 20:55:18.895,79.35,UTC-0300,,115,2018-08-04 20:52:00.000,1.3224999,dgrrqaEJmv,2018-08-04 20:51:00.000,com.sec.android.app.shealth,2018-08-04 20:55:18.895,014f3311-a278-4b60-a1c5-91bf00e73eef,3.45,
2018-07-16 17:38:34.287,40.02,UTC-0300,,57,2018-07-16 17:39:00.000,1.1944445,avnWu77KPA,2018-07-16 17:38:00.000,com.sec.android.app.shealth,2018-07-16 17:38:34.287,0157cc51-a808-44b9-9da8-04d6f65dffee,1.69,
2018-07-15 21:09:58.664,84.15999,UTC-0300,,119,2018-07-15 21:10:00.000,1.4026664,avnWu77KPA,2018-07-15 21:09:00.000,com.sec.android.app.shealth,2018-07-15 21:09:59.698,0166ffc8-049b-4361-8aab-2048eddd2d05,3.5699997,
2018-07-30 23:47:46.697,28.09,UTC-0300,,48,2018-07-30 23:39:00.000,1.0833334,dgrrqaEJmv,2018-07-30 23:38:00.000,com.sec.android.app.shealth,2018-07-30 23:47:46.697,016c7659-3528-4e2c-b8c1-0b076c0a06ec,2.26,
2018-07-17 17:23:02.128,51.01,UTC-0300,,77,2018-07-17 17:24:00.000,1.2047102,avnWu77KPA,2018-07-17 17:23:00.000,com.sec.android.app.shealth,2018-07-17 17:23:43.327,01749631-d7b2-4ffb-adeb-35323a6f00c3,2.7299998,
