com.samsung.shealth.activity.day_summary,6000085,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,34740000,2017-05-08 04:00:46.970,4531.6553,6776,6467,3642381,1494201600000,avnWu77KPA,3649157,0,com.sec.android.app.shealth,2017-05-09 00:43:13.058,775929,00082ca9-e275-4d89-a4a1-061a9442d6b8,00082ca9-e275-4d89-a4a1-061a9442d6b8.extra_data.json,201.44998
0,-1,30540000,2018-03-07 05:00:42.788,3368.067,5200,4839,2789782,1520380800000,avnWu77KPA,2794982,0,com.sec.android.app.shealth,2018-03-08 01:54:55.800,1349258,00462d92-df45-451d-a265-6e8e228c6345,00462d92-df45-451d-a265-6e8e228c6345.extra_data.json,155.27066
0,-1,23160000,2017-11-14 05:00:03.503,7600.5923,18216,10831,5929266,1510617600000,avnWu77KPA,5947482,0,com.sec.android.app.shealth,2017-11-15 00:58:00.502,1514985,00e8c12d-1240-4d3e-a688-2b3973c2bcd3,00e8c12d-1240-4d3e-a688-2b3973c2bcd3.extra_data.json,345.23633
0,-1,27960000,2017-10-13 04:00:14.544,5396.436,5353,7585,4455226,1507852800000,avnWu77KPA,4460579,0,com.sec.android.app.shealth,2017-10-27 05:16:17.646,784964,01117e3c-dc1c-4027-bbb0-e695933b925c,01117e3c-dc1c-4027-bbb0-e695933b925c.extra_data.json,241.84836
0,-1,-1,2017-06-30 20:06:30.359,0.0,0,0,0,1498176000000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-06-30 20:06:30.359,0,018d41c6-8d64-4b65-a2cb-35b9aa515427,018d41c6-8d64-4b65-a2cb-35b9aa515427.extra_data.json,0.0
0,-1,46500000,2018-08-11 05:02:41.180,715.8301,2000,1011,651599,1533945600000,dgrrqaEJmv,653599,0,com.sec.android.app.shealth,2018-08-12 04:27:08.803,60000,0286868c-35a4-4a2f-a16d-5d6551393deb,0286868c-35a4-4a2f-a16d-5d6551393deb.extra_data.json,30.710001
0,-1,34680000,2017-05-05 04:01:16.528,10092.693,54022,14043,7763627,1493942400000,avnWu77KPA,7817649,0,com.sec.android.app.shealth,2017-05-06 03:34:52.784,2139342,02fb02ae-d4aa-4182-8037-c6e1c4051dc3,02fb02ae-d4aa-4182-8037-c6e1c4051dc3.extra_data.json,444.81912
0,-1,29400000,2017-12-20 05:13:47.048,10715.28,8515,14986,8704068,1513728000000,avnWu77KPA,8712583,0,com.sec.android.app.shealth,2017-12-20 15:08:55.211,1035866,0305e68b-d298-4464-a6a6-f90261cb02ab,0305e68b-d298-4464-a6a6-f90261cb02ab.extra_data.json,459.88547
0,-1,40200000,2017-11-30 05:00:02.200,6979.8276,15889,9951,5691065,1512000000000,avnWu77KPA,5706954,0,com.sec.android.app.shealth,2017-12-01 03:44:28.350,1396362,042993d6-80a3-4ba8-b153-e79ffa3eab9e,042993d6-80a3-4ba8-b153-e79ffa3eab9e.extra_data.json,315.0844
0,-1,37620000,2017-07-02 04:00:00.343,8278.004,54258,11905,6944693,1498953600000,avnWu77KPA,6998951,0,com.sec.android.app.shealth,2017-07-05 23:56:47.346,977455,04b2d6fb-806e-43b2-849f-0919235d6216,04b2d6fb-806e-43b2-849f-0919235d6216.extra_data.json,370.9155
0,-1,41220000,2017-12-10 05:00:01.837,5266.556,674,7558,4341611,1512864000000,avnWu77KPA,4342285,0,com.sec.android.app.shealth,2017-12-11 05:26:49.343,866585,054ea6b0-3318-4241-9451-c129cef059dc,054ea6b0-3318-4241-9451-c129cef059dc.extra_data.json,229.5235
0,-1,34440000,2017-04-21 04:00:44.709,5346.3354,31346,7467,4315494,1492732800000,avnWu77KPA,4346840,0,com.sec.android.app.shealth,2017-04-26 14:20:17.536,843646,05a91dc5-4d33-448e-9a7c-794fa6f0e042,05a91dc5-4d33-448e-9a7c-794fa6f0e042.extra_data.json,232.86064
