com.samsung.shealth.calories_burned,6000085,1
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,7027875,com.sec.android.app.shealth,2018-06-14 04:00:40.233,2018-06-13 04:00:01.257,0059b235-2fe4-483a-8cc8-ade6fbd2788a,1256.14,375.24097,1528848000000,avnWu77KPA
0.0,220640,com.sec.android.app.shealth,2017-11-24 06:00:02.138,2017-11-23 06:01:28.437,013b3e00-5f34-4cc0-bc64-f54a40548675,1368.1898,11.83,1511395200000,avnWu77KPA
0.0,4358824,com.sec.android.app.shealth,2018-06-04 04:01:06.684,2018-06-03 04:00:20.326,0171cf2d-d1a3-47bb-af33-34f9eb06b8a6,1298.3802,233.75616,1527984000000,avnWu77KPA
0.0,6609647,com.sec.android.app.shealth,2018-08-24 04:00:02.363,2018-08-23 04:00:01.442,02d60a1e-49bb-402c-ad12-03703deb0560,1262.7588,355.08517,1534982400000,dgrrqaEJmv
0.0,3823903,com.sec.android.app.shealth,2018-05-12 05:00:36.314,2018-05-11 04:00:12.925,02df38ca-7547-4d4c-ba01-dd287b3addcc,1306.8458,202.44006,1525996800000,avnWu77KPA
0.0,6526235,com.sec.android.app.shealth,2018-09-13 04:00:01.893,2018-09-12 04:00:02.623,02fa201a-fb69-4392-8e30-4aff7c08be69,1264.079,363.4158,1536710400000,dgrrqaEJmv
0.0,9141288,com.sec.android.app.shealth,2017-10-27 05:16:21.633,2017-10-27 05:16:21.633,041cf6b1-e1b2-46ff-a052-f7c0fd30c744,1226.565,489.2243,1508284800000,avnWu77KPA
0.0,5157977,com.sec.android.app.shealth,2018-07-11 04:00:01.913,2018-07-10 04:01:01.755,04d2d5fc-34ed-4bdb-a95c-0a57446754be,1285.7328,280.40698,1531180800000,avnWu77KPA
0.0,4673551,com.sec.android.app.shealth,2018-04-17 04:00:53.336,2018-04-16 04:00:22.528,061cb5e2-a6f3-482a-800a-a9717f1361c3,1293.3993,255.14229,1523836800000,avnWu77KPA
0.0,5108240,com.sec.android.app.shealth,2018-05-06 04:00:03.257,2018-05-05 04:00:27.172,065efa34-3812-4b71-bf23-fb3cbc812dff,1286.52,266.00983,1525478400000,avnWu77KPA
