distance	duration	create_time	mean_speed	calorie
1014.46	831010	1506494504.838	1.2207555	46.86
1003.42	917462	1517955412.129	1.0936911	45.57
1650.49	1223656	1519875960.9	1.3488187	71.41
966.04	831594	1507170726.271	1.1616726	42.23
1096.09	772099	1527736045.527	1.4196237	45.88
1702.49	1233281	1534655933.128	1.3804559	72.24
834.67	684084	1523466064.13	1.2201279	35.54
1177.98	814720	1534818425.93	1.4458709	53.02
1399.99	1145332	1532395276.436	1.2223443	63.02
1010.18	817564	1494112255.818	1.2355974	45.24
706.87	670530	1523916191.336	1.054196	33.41
2265.32	1930539	1524617899.268	1.1734133	103.39
1764.2	1432994	1509740714.798	1.2311286	75.11
1219.4	979333	1523013145.707	1.2451332	51.46
1035.23	768866	1492105932.749	1.3464376	45.34
1240.77	1004226	1494167741.21	1.2355485	54.13
1008.94	849776	1505249077.541	1.187301	47.2
735.78	695268	1514304922.326	1.0582682	33.68
1773.06	1234290	1497218093.255	1.436502	74.62
1207.93	940955	1504309975.011	1.2837278	52.26
1552.57	1137163	1503106413.766	1.3653013	64.799995
1114.33	955563	1508561711.961	1.1661502	47.37
1362.14	1016008	1503128095.93	1.3406785	58.33
817.51996	678710	1511670893.993	1.2045203	35.12
1158.09	1021083	1536887764.408	1.1341782	54.91
969.07	847317	1506404408.776	1.1436924	43.2
1870.18	1454697	1504667248.54	1.2856148	80.06
1463.83	1127691	1513373230.224	1.2980772	62.7
1045.34	733602	1513572048.609	1.4249417	44.9
1194.84	957467	1499908994.639	1.2479177	51.489998
1710.74	1321521	1518150688.24	1.2945235	73.76
1202.85	977331	1505244751.565	1.2307497	57.83
2022.15	1608944	1525920926.245	1.2568182	86.32
913.05	792388	1516600530.467	1.1522765	40.16
929.87	784855	1521784264.613	1.1847665	40.95
976.26	724732	1508227533.718	1.3470634	45.82
1021.5	905963	1533274908.523	1.1275296	49.88
2307.99	1746451	1518228822.053	1.3215315	97.51
1279.66	998295	1513779101.96	1.2818456	53.93
1013.26	785184	1499718418.155	1.2904745	45.79
865.45	845944	1496075489.66	1.0230582	39.21
978.1	785112	1507677428.272	1.2458094	42.26
775.85	728712	1500406247.389	1.0646867	35.8
1384.02	1147797	1532401171.937	1.2058055	64.68
814.51	686867	1525467480.339	1.1858336	34.95
957.69	976829	1496442965.857	0.98040694	46.82
1200.76	903903	1512780792.16	1.3284168	53.149998
1673.93	1284936	1510356824.737	1.3027341	74.19
1176.22	1022725	1534732531.698	1.1500844	50.59
1162.8	906734	1524964750.171	1.2824048	49.29
1613.55	1517543	1518920095.456	1.0632647	70.03
884.92	689567	1524720971.058	1.283298	38.78
1076.98	1000200	1534606420.676	1.0767647	51.59
983.76	706564	1506714661.781	1.3923155	43.01
1877.3	1490000	1528700669.882	1.2599329	80.81
736.83	679656	1531455309.025	1.084122	31.56
951.56	750480	1502056691.923	1.2679352	40.8
804.45	718995	1525306176.686	1.1188533	35.62
1802.82	1465408	1502604227.177	1.2302512	77.01
1037.19	794357	1503118820.21	1.3056976	43.54
2016.9199	1725237	1497034295.58	1.1690685	93.04
1013.44	755672	1531418566.841	1.341111	44.57
1827.94	1387050	1512722167.031	1.3178616	81.22
1335.92	886443	1507615143.445	1.5070568	55.22
980.98	786803	1535488549.482	1.2467926	41.77
1964.48	1566427	1493775383.893	1.2541152	87.9
1025.91	791820	1504644024.868	1.2956353	46.41
975.92	721076	1510958461.809	1.3534219	41.79
1166.6	788682	1512354583.999	1.4791768	51.4
4186.35	3380077	1534493268.312	1.2385368	188.3
1202.67	1081258	1519247740.401	1.1122878	52.46
1635.7	1282071	1512036908.886	1.2758265	74.59
1643.2	1354739	1525332633.239	1.2129273	69.3
1686.82	1447551	1519274076.737	1.1652923	72.77
1306.63	1033567	1521241108.922	1.2641947	58.92
1757.29	1347817	1513283062.228	1.3038045	75.36
718.77	643040	1511920054.815	1.1177686	31.199999
822.93	662417	1493834645.036	1.2423142	35.53
1143.08	929105	1494911747.398	1.2303022	49.26
1433.01	1254699	1509680081.347	1.1421145	63.2
1918.36	1674600	1512300831.031	1.1455631	89.21
993.38	750583	1501025808.986	1.3234777	42.88
1020.8	799874	1524441328.511	1.276201	45.22
977.47	765454	1501213233.493	1.2769808	42.3
2247.44	1702186	1528325697.559	1.3203259	96.17
1382.22	1109829	1495685607.015	1.2454351	58.7
966.96	756868	1504594205.874	1.2775809	43.8
1591.96	1284657	1528870502.661	1.2392101	72.57
1463.15	1180369	1526866896.064	1.23957	62.27
2074.32	1669865	1501037167.689	1.2422082	88.6
961.33	709549	1507675091.235	1.3548466	40.78
1317.51	1112984	1504400513.998	1.1837635	57.52
2703.05	2146136	1535780281.023	1.2594961	114.87
1555.29	1164365	1536177427.767	1.3357408	67.590004
866.17	704241	1492900033.583	1.2299341	36.34
1615.88	1332114	1509848887.623	1.2130194	69.3
792.19	680055	1534718366.334	1.1648911	34.65
1507.79	1084644	1519794979.69	1.3901242	64.33
1080.87	815910	1509837296.234	1.3247417	46.19
1003.01	775929	1494266037.699	1.2926569	43.52
901.83	783901	1527059741.67	1.1504387	39.57
1009.33	838072	1506056097.967	1.2043476	44.3
1003.10004	793030	1532825734.728	1.2648954	43.84
1715.85	1396362	1512079986.321	1.2288002	73.74
1428.54	1070985	1497037097.027	1.3338562	60.41
1748.92	1435457	1510207119.555	1.2183716	84.19
798.35	683130	1518742744.638	1.1686648	35.71
1255.97	981144	1491955549.606	1.2801079	53.79
1047.0	914544	1508827577.171	1.1448327	47.59
2570.8801	2234933	1496775774.583	1.1503165	113.08
1761.47	1312657	1499199408.436	1.3419118	75.22
1005.36	746366	1508184599.454	1.3470067	43.07
1153.42	994803	1508393581.758	1.1594455	51.02
805.21	671153	1529986493.436	1.1997414	34.5
2695.1199	2054271	1503551083.128	1.3119593	113.78
827.43	672561	1511241305.284	1.2302676	37.38
1518.19	1264395	1525912461.506	1.2007244	64.8
2036.73	1708103	1507513787.205	1.1923928	88.58
918.51	726611	1525325851.162	1.2641014	40.56
1281.91	930337	1524279062.564	1.3778986	56.14
1026.18	765347	1496103975.762	1.3408036	43.41
750.27	680558	1533877707.121	1.1024336	31.55
1441.68	1181694	1523492552.694	1.2200112	62.36
1496.87	1242706	1534915333.883	1.2045248	70.76
1173.68	940409	1515822897.63	1.2480527	51.2
1287.31	1105297	1501543231.135	1.1646734	55.48
2884.75	2296318	1511388441.771	1.2562503	127.81
1087.17	850265	1509236099.067	1.2786249	47.05
1184.79	972793	1510980077.604	1.217926	51.62
1016.07	775192	1507519657.481	1.3107332	44.59
818.29	661528	1517374569.339	1.2369697	35.17
847.21	658316	1509399070.85	1.2869351	36.51
1506.97	1137117	1536781853.417	1.325255	64.93
1011.09	779802	1509943047.485	1.2965984	42.81
1263.48	1030881	1499489301.721	1.2256312	55.21
2580.57	1988354	1504992895.181	1.2978424	110.4
863.1	662279	1530236099.783	1.3032273	36.96
990.94	747675	1493230050.833	1.325362	42.47
1014.58997	865130	1492573682.946	1.1727601	43.61
1106.69	1031600	1499724337.766	1.0727899	48.149998
1111.97	848009	1499831257.766	1.3112714	47.579998
1021.21	761532	1505439582.583	1.3409942	44.17
872.23	701200	1508285699.463	1.2439104	37.14
1062.29	817055	1504152896.783	1.300145	47.74
1256.96	993212	1526937987.27	1.2655505	59.22
799.17	671880	1496755394.235	1.1894535	34.77
1091.87	834950	1528396984.183	1.3077071	48.94
994.04	826886	1531290321.411	1.2021487	47.92
813.77	676426	1521833698.7	1.2030436	36.16
1040.0	898273	1507003841.619	1.1577772	44.05
926.92	731206	1536882685.211	1.2676591	41.08
843.59	685682	1507231893.583	1.2302934	37.95
1327.83	1074398	1529981479.938	1.2358829	56.8
1440.89	1601757	1496501331.494	0.89956844	71.39
1046.51	800622	1519283419.408	1.3071213	45.15
1392.74	1083359	1521568906.695	1.2855757	60.77
718.78	661211	1527900991.845	1.0870659	30.58
2931.46	2156454	1512798293.589	1.3593891	124.58
848.93	751442	1525284673.783	1.1297345	40.61
1689.11	1334055	1533458256.629	1.2661471	77.62
1606.54	1239194	1510286968.101	1.2964395	68.729996
1132.24	892124	1519518949.889	1.269151	47.01
1131.75	862870	1507341045.068	1.3116112	49.82
874.13	668345	1528742710.659	1.3079023	38.14
1350.2	1228484	1508876657.09	1.0990782	63.07
727.85	635958	1510461917.31	1.1444938	37.45
1612.51	1266482	1529903906.737	1.2732198	70.13
1669.14	1416480	1516313532.344	1.1783717	74.63
1661.88	1323091	1517472497.27	1.2560588	75.14
