create_time	heart_rate
1528925730.162	64.0
1527014226.642	56.0
1530166573.463	67.0
1535769445.406	80.0
1528773348.498	59.0
1535355066.959	107.0
1529024974.705	70.0
1535001907.857	95.0
1536791947.017	65.0
1534244410.989	85.0
1534294062.303	70.0
1528095220.69	77.0
1529983946.545	83.0
1527645030.626	82.0
1533327743.625	71.0
1527036856.981	61.0
1536963887.297	63.0
1533374584.756	77.0
1533845348.061	77.0
1528003970.903	73.0
1532551676.482	76.0
1534669978.484	82.0
1534134426.414	74.0
1533765009.633	82.0
1528174236.013	92.0
1526954079.902	69.0
1533953889.78	92.0
1536714122.281	71.0
1526691944.861	72.0
1528256233.2	71.0
1528189335.27	70.0
1530153341.908	75.0
1527028589.978	64.0
1527752686.121	77.0
1534309908.049	79.0
1532763852.681	72.0
1534337375.496	70.0
1536697645.152	87.0
1528016143.491	63.0
1531241205.458	67.0
1528765746.367	79.0
1526769587.284	76.0
1529370831.93	73.0
1535542867.815	97.0
1528174089.538	87.0
1533717567.046	60.0
1527986390.374	78.0
1533641894.529	65.0
1530145949.027	73.0
1528921620.457	64.0
1536459671.109	93.0
1528003884.512	77.0
1534898540.615	79.0
1533696529.708	66.0
1533458310.548	82.0
1534748193.642	78.0
1529573800.164	67.0
1535655424.333	85.0
1536468027.429	77.0
1528567887.683	73.0
1529723019.619	79.0
1534295894.692	78.0
1529094784.165	82.0
1528773378.321	71.0
1528229478.613	91.0
1533516258.04	70.0
1535862293.576	89.0
1533895406.302	63.0
1528154007.768	78.0
1535138237.805	70.0
1533626781.175	62.0
1537216538.868	69.0
1526943299.27	81.0
1534326139.568	72.0
1536728764.438	74.0
1528259909.33	75.0
1529584000.204	76.0
1528056980.617	74.0
1535350934.191	120.0
1537229644.18	76.0
1535069586.88	66.0
1529382101.173	72.0
1536085673.613	74.0
1527748416.917	82.0
1532475912.73	82.0
1527280995.006	71.0
1527304257.316	69.0
1528146757.733	80.0
1534887091.848	100.0
1536733488.383	80.0
1528780812.647	67.0
1527710900.606	66.0
1492123654.732	71.0
1535596286.928	101.0
1526946973.465	79.0
1533975784.074	78.0
1536978501.69	76.0
1528003935.715	72.0
1533772974.438	74.0
1536864321.815	63.0
1536710443.088	67.0
1536658170.38	70.0
1536128485.242	79.0
1533243137.429	79.0
1533585555.411	103.0
1528846858.976	69.0
1534422515.121	76.0
