create_time	distance	time_offset	count	speed	calorie
1534736100.978	79.76	UTC-0300	113	1.3293333	3.39
1531515785.888	15.28	UTC-0300	22	1.25	0.66
1534634413.309	82.72	UTC-0300	117	1.3786668	3.51
1530784124.543	52.51	UTC-0600	82	1.299048	2.99
1533347292.271	28.64	UTC-0300	37	2.4166667	1.05
1530794803.811	18.94	UTC-0600	17	2.4231236	1.0999999
1533880490.538	15.48	UTC-0400	22	1.2777778	0.66
1534564584.999	56.59	UTC-0500	80	1.3055556	2.39
1532379909.362	23.07	UTC-0300	33	1.3055556	0.99
1533586950.999	17.0	UTC-0300	24	1.25	0.71
1533194095.84	47.83	UTC-0300	67	1.3055556	1.99
1531018496.367	51.42	UTC-0600	73	1.3055556	2.18
1534319783.964	66.33	UTC-0500	105	1.2222222	3.15
1532021713.665	62.51	UTC-0300	101	1.2777778	3.02
1534985632.475	66.24	UTC-0300	92	1.4444444	2.76
1534394888.397	49.729996	UTC-0500	72	1.2310957	2.1599998
1533957793.978	60.92	UTC-0400	80	1.7222222	2.58
1535004720.574	78.95001	UTC-0300	111	1.3845199	3.3199992
1532564037.371	69.4	UTC-0300	101	1.1566666	3.03
1534486847.458	2.84	UTC-0500	4	1.3608277	0.12
1531541761.496	85.729996	UTC-0300	117	1.5431077	3.5099998
1530855251.248	75.07	UTC-0600	105	1.3333334	3.13
1533262820.852	30.869993	UTC-0300	44	1.259057	1.2599995
1532486781.742	84.07	UTC-0300	115	1.4722222	3.56
1532996719.664	12.29	UTC-0300	18	1.0277778	0.54
1531598169.751	51.02	UTC-0300	118	1.2777778	3.54
1532306099.454	71.46	UTC-0300	103	1.2222222	3.09
1534818811.749	78.79	UTC-0300	113	1.3611112	3.39
1533153295.937	77.7	UTC-0300	111	1.2949998	3.33
1533855508.401	85.46	UTC-0400	117	1.5555556	3.51
1532400120.296	75.68999	UTC-0300	109	1.2614996	3.269998
1530853558.915	70.85	UTC-0600	101	1.2777778	3.03
1531020512.505	69.66	UTC-0600	100	1.1944444	2.99
1531969612.244	36.2	UTC-0300	56	1.2777778	1.68
1533523858.337	18.96	UTC-0300	27	1.3055556	0.81
1533430518.895	79.35	UTC-0300	115	1.3224999	3.45
1531777114.287	40.02	UTC-0300	57	1.1944445	1.69
1531703398.664	84.15999	UTC-0300	119	1.4026664	3.5699997
1533008866.697	28.09	UTC-0300	48	1.0833334	2.26
1531862582.128	51.01	UTC-0300	77	1.2047102	2.7299998
1531704897.113	38.08	UTC-0300	54	1.3055556	1.62
1534829120.612	7.04	UTC-0300	7	2.1388888	0.38
1533194096.353	43.05	UTC-0300	106	1.4444444	8.66
1533933537.276	6.42	UTC-0400	9	1.4444444	0.27
1532825674.773	23.54	UTC-0300	33	1.3055556	0.98
1534921108.31	14.969999	UTC-0300	21	1.4216777	0.6299999
1533336914.826	8.29	UTC-0300	11	1.8333334	0.31
1533000296.545	82.42	UTC-0300	118	1.3736668	3.54
1532308280.685	42.2	UTC-0300	61	1.1944444	1.83
1530784754.676	13.0	UTC-0600	18	1.6751496	0.53
1533268495.286	86.75	UTC-0300	117	1.6111112	3.53
1534571945.516	70.76	UTC-0500	110	1.3055556	3.29
1532110733.728	29.050001	UTC-0300	40	1.4568914	1.1999999
1531276200.392	77.06	UTC-0300	110	1.2843333	3.2999997
1530856500.83	24.2	UTC-0600	35	1.25	1.05
1533356888.008	87.39	UTC-0300	121	1.4564999	3.64
1531113138.018	79.36994	UTC-0300	119	1.3228325	4.2599998
1533339296.097	76.3	UTC-0300	109	1.2716666	3.27
1533435636.969	73.35997	UTC-0300	106	1.2226661	3.1799989
1533794110.658	74.29	UTC-0400	111	1.2381667	3.6599998
1531013531.713	32.18	UTC-0600	46	1.25	1.38
1534486470.376	70.99	UTC-0500	103	1.1831666	3.09
1530762573.15	41.93001	UTC-0600	59	1.3545318	1.6799991
1533855037.921	83.22	UTC-0400	114	1.5277778	3.42
1532022598.991	87.09001	UTC-0300	131	1.4515003	3.9299998
