	time	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	with_parents_activity	schoolwork_activity	in_class_activity	studying_activity	work_activity	resting_activity	shopping_activity	email_activity	with_friends_activity	just_woke_up_activity	feedly_activity	getting_ready_activity	chatting_activity	ash_stuff_activity	commuting_activity	cooking_activity	tv_activity	errands_activity	working_activity	therapy_activity	meditation_activity	trying_to_leave_apt_activity	washing_up_activity	workshop_activity	eating_activity	leisure_activity	reading_activity	working_out_activity	with_k_activity	la_location	k_home_location	mountain_view_location	vacation_location	therapy_location	school_location	cafe_location	library_location	airport_location	home_location	parents_home_location	friend_home_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	phone_unlocks	phone_use_secs	walking_distance	walking_duration	avg_walking_speed	stepCount	time_of_day
time	1.0	0.024513469325623233	0.06897357588228697	-0.17596062601864967	-0.08062382846509333	0.10006231631156663	0.41033578846967755	-0.05851508126050237	0.0	0.21465906069097274	0.19357723744678274	-0.06815518450437114	0.21642594186593206	-0.03881991189098585	-0.07004970702685669	-0.019054561489701114	0.12518863724448603	0.0	-0.029483938472266033	0.0	-0.04615148469107251	-0.25517911059793996	0.0	0.11498247355501637	-0.027468463736725263	-0.05448943312446248	-0.010266274994389776	0.026954829463665536	0.006072083721913398	0.0	-0.029392610774936347	0.0	-0.07725371068244366	0.02475719969251706	0.02457315858358916	-0.007393452307921343	-0.10374981697832429	-0.24563462846218642	-0.06686170491055331	-0.3609243196046851	-0.44721185684589937	0.0	0.27653115487657204	-0.027994750249208382	0.09195575674468079	0.0008082674670860817	2.2547470437026742e-05	0.01971499638741216	0.058957178956537716	-0.0343994086016623	-0.02368465652089215	-0.11537528077014898	0.010432848804029523	-0.1408426486663053	0.11047372341148783	-0.03722627775856348	-0.0630579616302251	0.02931878731368075	-0.05085239295602886	-0.042397418622523976	0.017147357458657777	-0.07034083018840932	0.09502931748680593	0.06497316364736622	0.042990766990583976	0.11733410520007907	0.4357606222891935	0.16570979728470508	0.350584207855691	0.22689055391563479	0.05872142849365858	0.11702146953224528	0.09172580738023853	0.0006052674600676517	0.003535561524973192	-0.014549721962368312	0.03355094384202266	-0.0258243160215782
mood	0.024513469325623233	1.0	0.1757276282554166	-0.3073980176474874	0.6031922427168488	-0.3719633388253494	-0.32033820391814394	-0.19085715808476514	0.0	0.09230298712666925	0.09083838827822975	0.03588858504433928	0.12030495990494629	0.030125527728687172	0.0030922429275130445	-0.0037898572279853235	0.3981056803690582	0.0	-0.09315491864694049	0.0	0.15183841837407508	-0.04945470808612928	0.0	-0.031498110548947966	-0.2430501344801241	-0.005581078675334525	0.06459234927696768	0.004378382985437522	-0.06890095945868108	0.0	-0.07965670447037522	0.0	0.0344038851111919	-0.17650395787035053	-0.0396837842364176	0.039327297209676065	0.22567450560329513	0.054581277412368415	0.13578376071991805	0.09312979852461653	0.10962948042154282	0.0	0.21755234921309408	0.1306081896887452	0.006948112621091484	0.003092242927513048	-0.2616494156108282	-0.12220491185062447	0.09526045691376092	0.031018205973277275	0.060055727536075555	0.09192738700220665	-0.07654239842682116	0.01062367753211957	0.04757281299586288	0.02464606371359605	0.15967765296297018	-0.17690509019400907	0.19461941331713017	0.0014951659946612034	-0.07061886275632606	-0.08995708448064405	0.22103010360576275	0.14921270219539828	-0.005261418650765355	0.09666096708173279	0.06500318344405445	0.1578857491653359	0.08849900249885168	0.058665815208875906	0.07751793359005885	-0.043122866733273334	-0.08032450359302969	-0.053962515927745605	-0.051311354790702965	-0.08071411792317461	0.059452123046819516	-0.026675010136135015
unique_interactions	0.06897357588228697	0.1757276282554166	1.0	-0.21155601943104654	0.0382507560591689	0.1518451442899426	-0.0693770585897146	-0.03666752980617563	0.0	-0.08863219918471933	0.030715566873785734	-0.03326330431922775	-0.07627368276636502	0.013534895915818109	-0.04976899250996327	0.06173313169873804	0.20692879631846658	0.0	0.013549968387970495	0.0	0.4246071241544917	0.15845323613822815	0.0	-0.0342217330629031	-0.17429522706425993	0.05279038741628857	0.03964757165134493	0.02733919941120478	0.19343822775062725	0.0	0.004092917633549243	0.0	0.03972075827297415	-0.05998555700727999	-0.015230310416928511	0.06739579055227007	0.04886070602342484	0.06702738350784916	-0.005574711425491311	-0.06114937936269362	-0.004593236013441353	0.0	0.16968726186799038	0.06177015757290413	-0.049743065544984845	0.01930837167610618	-0.19555915725787315	0.18542255621276027	0.014062721640909678	0.09319570062169555	-0.03813922471188534	0.11515907728701405	0.07315407562088547	0.10062563361163916	0.16800206155989264	-0.100312095905569	0.2468497985275808	-0.14994781463786855	0.09539623696511403	0.005662142936589998	-0.1962606776598514	0.03590349518839579	0.11276839843881016	0.10377462279939989	0.09503513620556309	-0.07122934735755235	-0.1411548177186058	-0.07504632558266483	0.18904277556903282	0.12132406957856821	0.0447595676925901	0.29355660424905217	0.19619309298461568	0.002798232877329132	0.007055557573628273	-0.020500938528784714	0.12229113771739189	0.019286869250480593
alone	-0.17596062601864967	-0.3073980176474874	-0.21155601943104654	1.0	-0.15558847527811878	-0.04763290095093008	0.02783406193060567	0.1052252308305113	0.0	-0.1408405952219326	-0.33487224889041495	0.00023987293247278852	-0.1237773313404053	-0.01629037662799261	0.02842080040036539	0.01834826141047996	-0.47189879777185423	0.0	0.07581828865593793	0.0	0.042089404221581576	0.07965793096817604	0.0	0.06386009333429647	0.1802258488195427	0.12690459937933524	0.0908675803185683	0.0402417118649716	0.049345606873141164	0.0	0.05704867471348358	0.0	0.044337179960827235	0.17172548104636615	0.028420800400365473	0.08107449720590285	-0.33487224889042166	0.041241948038618546	-0.21571084842780316	0.10745624943098261	0.11225449605979433	0.0	-0.5851885053711998	-0.2094486165246173	-0.19096624064390527	-0.08498912427416981	0.7424548796547825	-0.21761897025748794	-0.32097830820089884	-0.023586488638613037	0.0092408829887952	-0.022252272302593867	0.08271688035959623	0.034490668012814904	0.015285815312964968	-0.03894177391149265	-0.15888376481848887	0.11645060965059023	-0.18321254203597087	-0.0851726028986159	-0.0026491039088372068	0.12337536284594171	-0.08156845811393153	-0.011761746231279796	0.06666285353585397	-0.1833348316163953	0.034033309668844346	-0.03772655667629839	-0.20237882004748248	-0.09484054829642513	0.0003996487894999583	-0.05753284459190763	0.004053751269914879	0.10450070631312036	0.10151317766285806	0.12906315698771234	-0.13153348329914966	0.013059186501597904
morale	-0.08062382846509333	0.6031922427168488	0.0382507560591689	-0.15558847527811878	1.0	-0.27271615250437903	-0.5556963177384202	-0.1501890351419926	0.0	0.37116738758443024	0.06703144948989233	0.05012325560259391	0.3870329460000801	0.010532782533356773	0.017012291134457343	0.05439205473760301	0.12664334352217718	0.0	-0.18699550300400927	0.0	-0.12325082859304103	0.09842210900970128	0.0	-0.03555884011488462	-0.41144271840804814	-0.006300590125125551	0.04389312324173993	0.02408812237346544	-0.008472020733352443	0.0	-0.11415934264132666	0.0	0.06309972891206869	-0.41505814290639537	-0.11433842181065566	0.013402194872241136	0.1791662308846124	0.19226460243721538	0.07565720190487112	0.24145441553024186	0.31748254512104634	0.0	0.12071698267031332	0.1498263374214083	0.06773959041885504	0.017012291134457378	-0.25029084518925443	-0.03674055666642798	-0.007092697960806951	-0.07142827641937866	0.12923811258853815	0.022302210159168015	-0.10034156112410768	-0.04734233532529274	-0.006113552250057958	0.003852150955059556	0.08962791561588145	-0.0986418041570413	0.24530209532987957	-0.03127055176768488	0.11481950485741074	-0.08907637371471955	0.09935403770340748	-0.020805367373320154	0.008809290843911481	0.26571983164352947	0.19157660489325026	0.14370805161326683	0.0041659865473923936	0.009383383114800681	0.049093244387457574	-0.0739206556555696	-0.05989568946506287	-0.14708420185705973	-0.15122370140739586	-0.16735971401068706	0.05352335237273561	-0.2135821393598164
stress	0.10006231631156663	-0.3719633388253494	0.1518451442899426	-0.04763290095093008	-0.27271615250437903	1.0	0.14696906890300657	0.06855022782118693	0.0	-0.01115238648252273	0.024791153706469993	-0.06893706159998936	-0.010405586593143702	-0.03408997535971133	-0.03815293350711916	-0.015408424523814489	-0.03396527323190605	0.0	-0.022796148744444123	0.0	0.19424998968470167	0.06703463222604933	0.0	0.014137550783131921	-0.05057198227359161	0.020199897782836436	0.02899779893023386	-0.014690105701070136	0.09452220440647152	0.0	0.007053775587476957	0.0	-0.01825306310043566	-0.09263466860354709	-0.038152933507119194	0.01002444512567761	-0.1065492138022763	-0.07837987909439854	-0.00439559462880689	-0.07225290869953152	-0.10866069602595343	0.0	0.062167217056130195	0.008660172149528899	0.026620707325684542	0.045181105468956866	-0.1309519689726832	0.2657672369694202	-0.024826954470789517	0.07785562331525142	-0.03285410420677324	-0.07676472733602921	0.13197526137461268	0.030972432114087196	0.13094817256215976	-0.06663432122733794	0.10478724115372659	-0.1105356424617275	0.03366070415463625	-0.04750368815030959	-0.06514308904356778	0.032962199059044135	-0.06503246635736265	-0.08024260522196207	0.022259283076011833	0.01903291655841872	-0.08033230820379922	-0.019339256623070115	0.07756863584395733	0.009156174363185644	-0.018035829168493108	0.08595024845720702	0.06217782875100205	-0.07365914155227798	-0.07073189286413896	-0.08672806303703057	-0.004233751304219957	-0.07061479594014304
fatigue	0.41033578846967755	-0.32033820391814394	-0.0693770585897146	0.02783406193060567	-0.5556963177384202	0.14696906890300657	1.0	0.05662951248377131	0.0	-0.07979188469510684	0.018051562590382163	-0.01061649606614526	-0.08705676274769278	0.007954468878360047	-0.09428538255777283	-0.03884589892270343	-0.10098170787584873	0.0	0.051923654709489925	0.0	0.007376135696361269	-0.10284560071458854	0.0	0.07522995120964293	0.1913337717399658	-0.032087885527390135	-0.02425671516440303	-0.0042813730917676445	-0.005249949459717287	0.0	0.07407536449583983	0.0	-0.08990539903990906	0.1630596036144658	0.08823792361820754	0.02391652324218093	-0.04787274398969393	-0.12293190786159504	0.018051562590382035	-0.4062876732342504	-0.40280906567497865	0.0	-0.10780008031138018	-0.09179175734191866	-0.03755321045604496	-0.003023729469782818	0.27735887965402123	0.02102232487182111	0.01733283236255715	0.036528464921117394	-0.048750027597057745	-0.0654789825585079	0.14992038699518592	-0.024011575921076576	0.0655983009526805	0.024801890627099327	-0.030051979060872633	0.01457512516194535	-0.12898322690678243	0.06779201791198998	-0.045056324864976564	0.010161797095400686	-0.02536356257217582	0.07269921496725162	0.010263818827507678	-0.10899777353532238	-0.024368601247375138	-0.08331789838809055	0.07846961416419238	0.0888004374063029	0.07073185618908237	0.1284040711163362	0.11347341376688067	0.21239269343969644	0.21381500294953484	0.19563561511884658	-0.022036998785659324	0.26547734439755466
compulsions	-0.05851508126050237	-0.19085715808476514	-0.03666752980617563	0.1052252308305113	-0.1501890351419926	0.06855022782118693	0.05662951248377131	1.0	0.0	0.015976377570195363	-0.08902235207864583	0.03659101751192281	-0.009456964552693639	-0.09655044635277965	-0.0556086172252968	0.01220896409530926	-0.08982588166748394	0.0	-0.04044276945614409	0.0	-0.035793331948435335	0.0647841341932364	0.0	-0.03592975220221867	0.11868311953100982	-0.08996452895416866	-0.05112503714910698	-0.008617206451722363	0.018094575782852524	0.0	-0.012216185271957015	0.0	-0.03022159615416003	0.05883143467131779	0.04343677396997462	-0.052678669367901707	0.04106312719120678	0.09283167699266408	-0.010971064516734411	0.016558234451893864	0.07395061349937307	0.0	-0.175938482498507	0.02568327237885665	-0.03592975220221863	0.04343677396997469	0.06528329992677875	0.0481415455810697	0.019671796766844763	0.08322639650718763	-0.04854483649167591	-0.010979309905937071	-0.013277745753749123	-0.03084003559298251	0.007665785663289185	-0.00035669248151460296	0.04167113471556616	0.012168129106706558	-0.008656583410716848	0.05039818456408929	0.04066742840599251	0.06806443704790725	-0.04019070371063097	-0.03595871964837848	-0.1593617803151643	0.05910741215814865	0.03217393302467305	-0.01965249666666858	-0.046119518689800666	-0.058325509842924596	-0.02835861921557165	-0.12477041255298321	-0.06882651790424883	-0.011702297328259283	-0.007660822179767956	0.014785010954430513	-0.09287665509046361	0.08154321168840768
with_parents_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
schoolwork_activity	0.21465906069097274	0.09230298712666925	-0.08863219918471933	-0.1408405952219326	0.37116738758443024	-0.01115238648252273	-0.07979188469510684	0.015976377570195363	0.0	1.0	-0.1287921191253912	-0.07440312608099103	0.9528446037771979	-0.07956355626603975	-0.04582494967776328	0.04251139668481753	0.05574116784114321	0.0	-0.09171115986388642	0.0	-0.16085175844563382	-0.2115712896034684	0.0	-0.014404616362927235	-0.3459346612431342	-0.19556452677984026	-0.11500851067410395	-0.06488467584240316	-0.022536136835285984	0.0	-0.09198377987605197	0.0	-0.054372105611392524	-0.3880554069678133	-0.04582494967776306	-0.09558650931828166	0.10415633846944501	0.15721860654343953	0.13003950042442658	0.06744959436068616	0.15649988441350335	0.0	0.03219854081234701	0.1299007934812323	0.11843795676184607	-0.04582494967776315	-0.16786172338788274	0.07791736074739423	-0.012720843169343089	0.0030994907654449733	0.15804204825979537	-0.059676095068423654	-0.06778976020463431	-0.15450912535133682	-0.0056853741191396235	-0.016343433240760905	0.013265130137609637	-0.03662927893140872	0.20383521950229794	-0.032665164503977384	0.22435613530351356	0.048701792465959015	-0.08269723266332912	-0.14819217727329986	0.024717647173255374	0.3016929939957608	0.33214380820368145	0.06502102568190068	0.04890427334415689	0.06916244223958103	0.0561648383991853	-0.07578378043327122	-0.08065636846940026	-0.09674803897689217	-0.10190715189863045	-0.11958809367289888	-0.04727299685845897	-0.030724449528388886
