	time	mood	social	alone	morale	stress	fatigue	compulsions	leisure_activity	trying_to_leave_apt_activity	feedly_activity	schoolworrk_activity	with_parents_activity	working_activity	eating_activity	just_woke_up_activity	workshop_activity	studying_activity	with_friends_activity	tv_activity	school_work_activity	errands_activity	resting_activity	washing_up_activity	ash_stuff_activity	commuting_activity	getting_ready_activity	chatting_activity	with_k_activity	working_out_activity	reading_activity	shopping_activity	work_activity	in_class_activity	schoolwork_activity	therapy_activity	cooking_activity	with_kevin_activity	email_activity	parents_home_location	home_location	vacation_location	therapy_location	mountain_view_location	library_location	airport_location	school_location	kevin_home_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	blinks	max_attention	max_engagement	max_valence	min_attention	min_engagement	min_valence	productivity_score
0	2018-04-12 13:40:07.405005-04:00	2.0	0	True	2.0	4.0	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	0.531304	0.620755	0.0	0.0	0.619782	0.0	0.0	1	98.78546905517578	99.79376983642578	0.0	79.90189361572266	0.08021176606416702	-66.79007720947266	88.91
1	2018-04-12 14:42:51.922735-04:00	2.0	0	True	3.0	4.0	2.0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.603717	0.0	0.0	0.0	0.0	1	98.78697967529297	16.00478172302246	0.0	97.62317657470703	0.07944608479738235	0.0	96.85
2	2018-04-12 16:47:51.900184-04:00	2.0	0	True	2.0	4.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.603717	0.0	0.0	0.0	0.0	1	98.78697967529297	16.00478172302246	0.0	97.62317657470703	0.07944608479738235	0.0	74.06
3	2018-04-12 17:57:38.743968-04:00	3.0	1	False	3.0	2.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	0.0	0.0	0.0	0.0	0.943283	0.0	0.0	0	98.78266143798828	99.9177017211914	0.0	72.94775390625	0.07956336438655853	-54.90515899658203	74.71
4	2018-04-12 21:00:10.756322-04:00	3.0	1	False	3.0	2.0	4.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	0.645877	0.0	0.683166	0.0	0.839232	0.0	0.0	0	98.7869644165039	61.55473709106445	0.0	95.04878234863281	0.07947846502065659	-18.3936767578125	30.96
5	2018-04-13 15:27:43.578694-04:00	4.0	0	True	4.0	2.0	3.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	0.556735	0.0	0.678779	0.0	0.701639	0.0	0.0	1	98.78387451171875	99.78158569335938	0.0	40.514739990234375	0.0	-23.904726028442383	54.52
6	2018-04-13 16:29:00.230369-04:00	3.0	1	True	3.0	2.0	3.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.623108	0.0	0.853534	0.0	0.0	1	98.78387451171875	99.78158569335938	0.0	40.514739990234375	0.0	-23.904726028442383	84.55
7	2018-04-14 16:22:02.472148-04:00	4.0	1	False	4.0	3.0	2.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	98.78174591064453	99.92086029052734	99.89176940917969	39.82499313354492	58.21077346801758	0.0	96.99
8	2018-04-14 17:32:10.595708-04:00	4.0	1	False	4.0	2.0	2.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	98.7761001586914	99.92095184326172	0.0	85.64247131347656	25.051721572875977	-55.49345397949219	96.99
9	2018-04-15 16:52:01.287242-04:00	4.0	1	False	4.0	3.0	2.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	98.78221893310547	31.617507934570312	0.0	95.01387786865234	0.0792291909456253	-22.398460388183594	95.98
