index	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	getting_ready_activity	_activity	relaxing_activity	just_woke_up_activity	in_class_activity	with_k_activity	with_friends_activity	chatting_activity	emails_activity	leisure_activity	with_parents_activity	resting_activity	trying_to_leave_apt_activity	eating_activity	therapy_activity	working_out_activity	feedly_activity	working_activity	mozfest_activity	ash_stuff_activity	reading_activity	schoolwork_activity	email_activity	schoolworking_activity	commuting_activity	tv_activity	errands_activity	meditation_activity	washing_up_activity	sstudying_activity	cooking_activity	studying_activity	work_activity	shopping_activity	workshop_activity	la_location	k_home_location	cafe_location	parsons_location	airport_location	friend_home_location	mountain_view_location	mozfest_house_location	home_location	mozfest_location	parents_home_location	school_location	therapy_location	vacation_location	london_location	library_location	hour_of_day	avg_attention	avg_engagement	avg_valence	blinks	emoji	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	stepCount	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	productivity_score	phone_unlocks	phone_use_secs	heart_rate
0	3.0	1	True	2.5	1.0	1.0	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	19	92.3140233497097	22.378806010133598	-21.66283430824541	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.890603	16.0	0.6875	15.0	0.10121850758953824	0.311903555181962	10.0	25.0	2.0	4.0	0.0	0.0	34.25	6.0	840.0	81.0
1	3.0	0	True	3.0	0.0	1.5	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	20	98.24552598684294	0.944722467693675	0.0	31.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.890603	16.0	0.6875	15.0	0.10121850758953824	0.311903555181962	10.0	23.0	2.0	0.0	0.0	0.0	33.5	14.0	902.0	78.0
2	3.0	0	True	2.5	0.0	1.5	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	21	96.86280663926362	0.22899834634424585	0.09800154640993665	23.0	1.0	0.0	0.0	0.0	0.0	0.71572	0.0	0.0	22.0	0.9090909090909091	49.0	0.08971927139196503	0.2810548212793138	0.0	23.0	2.0	16.0	4.0	0.0	22.86	17.0	724.0	78.0
3	2.5	0	True	2.0	0.0	2.0	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	22	97.9674635164748	1.1612487134766816	0.322936151915372	1.0	1.0	0.0	0.0	0.0	0.0	0.71572	0.0	0.0	22.0	0.9090909090909091	49.0	0.08971927139196503	0.2810548212793138	0.0	23.0	2.0	0.0	0.0	0.0	42.77	11.0	1260.0	76.0
4	3.0	0	True	3.0	0.0	2.5	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	23	97.9674635164748	1.1612487134766816	0.322936151915372	1.0	1.0	0.0	0.0	0.0	0.0	0.71572	0.0	0.0	22.0	0.9090909090909091	49.0	0.08971927139196503	0.2810548212793138	0.0	23.0	2.0	0.0	0.0	0.0	42.77	11.0	1260.0	76.0
5	3.5	2	True	3.5	0.0	1.5	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	15	97.7312241389445	16.479991424570144	-7.862507741287505	5.0	3.0	0.0	0.857009	0.63678	0.0	0.0	0.0	0.981685	21.0	0.8571428571428571	63.0	0.07799344634673372	0.17779759335740705	2670.0	24.0	2.0	10.0	2.0	0.0	69.28	13.0	1211.0	74.0
6	3.5	0	True	3.5	0.0	2.0	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	16	97.7312241389445	16.479991424570144	-7.862507741287505	5.0	3.0	0.0	0.857009	0.63678	0.0	0.0	0.0	0.981685	21.0	0.8571428571428571	63.0	0.07799344634673372	0.17779759335740705	2670.0	24.0	2.0	10.0	2.0	0.0	69.28	13.0	1211.0	74.0
7	3.5	0	True	4.0	0.5	2.0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	17	98.41620632033273	4.929042768225537	-1.4294155624169143	28.0	1.0	0.0	0.731297	0.618009	0.0	0.0	0.0	0.0	100.0	0.61	148.0	0.09351516069586872	0.197078427752933	2670.0	23.0	2.0	14.0	1.0	0.0	64.99	12.0	249.0	74.0
8	2.0	2	True	2.0	3.0	4.0	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	21	97.97000848617424	0.37939354390210556	-0.021560562530205645	6.0	1.0	0.0	0.0	0.655934	0.0	0.0	0.0	0.726613	27.0	0.8888888888888888	35.0	0.08447019233580955	0.21424836843786105	1215.0	23.0	2.0	2.0	1.0	0.0	13.78	5.0	93.0	74.0
9	2.5	1	True	2.0	0.0	4.5	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	22	97.97000848617424	0.37939354390210556	-0.021560562530205645	6.0	1.0	0.0	0.0	0.655934	0.0	0.0	0.0	0.726613	27.0	0.8888888888888888	35.0	0.08447019233580955	0.21424836843786105	1215.0	23.0	2.0	2.0	1.0	0.0	13.78	5.0	93.0	74.0
