time	unix_time	mood	moodNotes	trigger	activity	unique_interactions	alone	location	morale	stress	fatigue	compulsions
2018-04-09T10:03:18.315716	1523282598.315716	4	Feeling pretty good	Making good progress with project (this questionnaire!)	Schoolwork	1	True	K Home	4	3	1	True
2018-04-09T11:03:48.939009	1523286228.939009	4	Productive	Making progress on project	Schoolwork, Errands, Chatting	1	True	K Home	4	3	1	True
2018-04-09T12:00:17.159027	1523289617.159027	3	Neutral	Taking a break	Leisure	1	True	K Home	3	2	1	False
2018-04-09T14:34:53.010916	1523298893.010916	3	Tired	Jet lag, chores	Leisure, Errands, Eating, Reading, Chatting, Email	2	True	K Home	3	2	4	False
2018-04-09T16:56:31.979721	1523307391.979721	3	drowsy	jet lagged but unable to sleep	Schoolwork, Resting	0	True	K Home	3	2	3	False
2018-04-09T18:00:51.257329	1523311251.257329	3	drowsy	jet lagged but unable to sleep	Schoolwork	0	True	K Home	3	2	4	False
2018-04-09T19:58:39.830408	1523318319.830408	4	tired	jet lagged	 in class, schoolwork, chatting	2	False	School	3	2	4	True
2018-04-10T02:00:04.219220	1523340004.21922	4	content	good couple's therapy session	Therapy	2	False	School	4	2	2	True
2018-04-10T12:47:00.108283	1523378820.108283	3	neutral	in class	in class, schoolwork, email	2	False	School	3	3	3	True
2018-04-10T13:54:55.984234	1523382895.984234	2	antisocial, grumpy	fatigue	in class	1	False	School	2	3	4	True
2018-04-10T15:41:39.202590	1523389299.20259	3	tired	jetlag, hunger	Eating, Reading, Resting	2	True	Home	2	3	4	False
2018-04-10T18:36:19.043137	1523399779.043137	2	groggy, stressed	am behind on homework but keep falling asleep	Schoolwork, Resting	0	True	Home	2	4	5	True
2018-04-10T19:43:28.252137	1523403808.252137	3	neutral	catching up on homework and finding that it's manageable	Schoolwork	1	True	Home	3	3	3	True
2018-04-10T21:08:09.784039	1523408889.784039	4	sleepy, lazy	jet lag	Schoolwork, Leisure, Resting	2	False	Home	3	2	4	False
2018-04-11T00:19:42.212395	1523420382.212395	3	restless, worried about homework, but generally content	behind on homework	Resting	1	False	Home	3	3	2	True
2018-04-11T09:55:45.772075	1523454945.772075	4	motivated	talked to danny rozin about project and got positive feedback	in class, schoolwork	5	False	School	4	3	2	False
2018-04-11T11:03:27.501462	1523459007.501462	4	productive	making progress on project	Schoolwork, in class	1	False	School	4	3	2	False
2018-04-11T12:04:12.017554	1523462652.017554	5	cheerful	fun at school	Schoolwork, with friends	3	False	School	4	3	2	True
2018-04-11T15:02:45.011706	1523473365.011706	5	cheerful	fun at school and therapy	Chatting, therapy	6	False	School, Therapy	4	2	2	False
2018-04-11T18:08:44.805924	1523484524.805924	4	productive	catching up on homework	Schoolwork	1	False	School	4	3	2	False
2018-04-11T20:59:37.102652	1523494777.102652	3	tired	long day, lingering jet lag	Schoolwork, with k	2	False	K Home	3	3	5	True
2018-04-12T00:37:41.151981	1523507861.151981	3	sleepy but restless	jet lag	Resting, with k, chatting	1	False	K Home	3	2	3	False
