timee,something,blink,one,two,three,four
17:02:25.864,VM829:70,blink,28.74,1.11,2.15,0.11,
17:02:40.037,VM829:70,blink,16.83,0.38,0.47,-0.05,
17:02:40.073,VM829:70,blink,44.34,1.12,2.09,0.07,
17:02:41.470,VM829:70,blink,27.48,0.58,0.37,0.03,
17:02:41.608,VM829:70,blink,70.75,0.18,0.46,-0.01,
17:02:43.828,VM829:70,blink,13.33,1.12,0.74,0.14,
17:02:54.825,VM829:70,blink,65.36,0.47,0.41,0.01,
17:02:57.668,VM829:70,blink,14.31,1.61,1.32,0.20,
17:02:59.381,VM829:70,blink,23.30,0.56,0.61,0.05,
17:02:59.417,VM829:70,blink,18.29,0.93,1.64,0.14,
17:03:08.358,VM829:70,blink,13.32,1.90,2.50,0.33,
17:03:08.393,VM829:70,blink,12.95,2.43,3.85,0.49,
17:03:11.465,VM829:70,blink,19.49,1.02,0.25,0.07,
17:03:24.421,VM829:70,blink,22.58,2.43,3.29,0.25,
17:03:35.125,VM829:70,blink,94.36,1.86,1.30,0.03,
17:03:35.268,VM829:70,blink,42.06,0.62,0.92,0.04,
17:03:37.725,VM829:70,blink,14.41,2.14,2.28,0.31,
17:03:44.027,VM829:70,blink,16.69,1.09,1.31,0.14,
17:03:52.813,VM829:70,blink,19.69,2.80,4.30,0.36,
17:03:57.369,VM829:70,blink,72.90,1.04,1.47,0.03,
17:03:59.776,VM829:70,blink,43.66,1.03,2.47,-0.08,
17:04:06.443,VM829:70,blink,30.14,0.91,2.37,0.11,
17:04:11.054,VM829:70,blink,34.40,0.97,1.93,0.08,
17:04:16.943,VM829:70,blink,71.96,0.90,1.51,0.03,
17:04:17.251,VM829:70,blink,70.66,0.21,0.78,0.01,
17:04:17.298,VM829:70,blink,35.97,0.85,1.23,-0.06,
17:04:22.615,VM829:70,blink,59.25,0.79,0.81,0.03,
17:04:22.659,VM829:70,blink,62.09,0.70,0.95,0.03,
17:04:27.804,VM829:70,blink,32.67,0.96,1.71,0.08,
17:04:33.122,VM829:70,blink,27.11,0.95,1.02,-0.07,
17:04:37.690,VM829:70,blink,104.07,0.76,0.89,-0.02,
17:04:43.775,VM829:70,blink,33.28,0.36,0.53,-0.03,
17:04:43.806,VM829:70,blink,18.27,0.98,2.08,0.17,
17:04:50.263,VM829:70,blink,36.21,0.26,0.47,0.02,
17:04:51.002,VM829:70,blink,54.67,0.90,2.80,-0.07,
17:04:53.595,VM829:70,blink,66.77,3.40,4.28,0.12,
17:04:55.155,VM829:70,blink,29.63,0.31,0.45,0.03,
17:04:55.187,VM829:70,blink,75.47,0.46,0.52,-0.01,
17:04:59.120,VM829:70,blink,72.26,0.43,0.68,-0.02,
17:04:59.152,VM829:70,blink,42.78,0.69,1.33,-0.05,
17:05:01.658,VM829:70,blink,16.96,0.56,0.91,0.09,
17:05:02.905,VM829:70,blink,40.85,0.48,0.74,-0.03,
17:05:02.940,VM829:70,blink,62.64,0.71,1.19,0.03,
17:05:09.818,VM829:70,blink,16.98,2.49,3.65,0.36,
17:05:15.317,VM829:70,blink,74.90,0.40,0.50,0.01,
17:05:21.347,VM829:70,blink,33.81,1.00,1.61,0.08,
17:05:21.380,VM829:70,blink,14.96,0.33,0.61,0.06,
17:05:36.118,VM829:70,blink,18.25,-1.67,0.65,0.06,
17:05:43.193,VM829:70,blink,12.01,0.44,0.38,-0.07,
17:05:43.226,VM829:70,blink,15.46,1.03,1.06,0.14,
17:05:48.051,VM829:70,blink,33.73,3.34,3.78,0.21,
17:05:48.087,VM829:70,blink,12.20,0.49,0.78,0.10,
17:05:52.385,VM829:70,blink,235.39,1.85,3.49,-0.02,
17:06:04.159,VM829:70,blink,22.84,0.34,0.55,0.04,
17:06:04.199,VM829:70,blink,28.63,0.66,1.04,0.06,
17:06:08.952,VM829:70,blink,94.53,1.06,1.44,0.03,
17:06:08.989,VM829:70,blink,42.88,0.26,0.54,0.02,
17:06:31.550,VM829:70,blink,48.81,0.83,1.29,-0.04,
17:06:38.323,VM829:70,blink,19.64,0.70,1.13,0.09,
17:06:49.414,VM829:70,blink,18.93,0.54,0.77,0.07,
17:06:57.192,VM829:70,blink,16.33,1.24,1.54,0.17,
17:07:09.001,VM829:70,blink,13.03,1.07,1.48,0.20,
17:07:09.035,VM829:70,blink,35.76,0.83,1.09,0.05,
17:07:15.002,VM829:70,blink,76.25,0.20,0.46,0.01,
17:07:15.033,VM829:70,blink,13.11,0.69,1.06,0.13,
17:07:15.597,VM829:70,blink,29.45,0.25,0.49,0.03,
17:07:17.954,VM829:70,blink,24.88,0.22,0.56,0.03,
17:07:19.543,VM829:70,blink,186.08,0.79,1.06,0.01,
17:07:24.187,VM829:70,blink,16.13,0.38,0.79,0.07,
17:07:24.221,VM829:70,blink,71.93,0.33,0.59,0.01,
17:07:29.334,VM829:70,blink,17.72,0.48,0.75,-0.07,
17:07:39.463,VM829:70,blink,23.40,1.00,1.92,0.12,
17:07:40.506,VM829:70,blink,18.14,0.29,0.63,-0.05,
17:07:54.499,VM829:70,blink,62.21,0.31,0.40,0.01,
17:07:54.537,VM829:70,blink,43.59,0.76,0.64,0.03,
17:08:06.635,VM829:70,blink,12.11,0.24,0.47,0.06,
17:08:06.667,VM829:70,blink,14.23,0.44,0.63,-0.08,
23:07:55.854,VM451:70,blink,12.45,3.06,2.23,0.43,
23:08:11.369,VM451:70,blink,18.77,0.91,0.85,-0.09,
23:08:37.054,VM451:70,blink,45.03,1.11,0.50,-0.04,
23:08:39.796,VM451:70,blink,630.84,-0.76,0.40,-0.00,
23:09:12.242,VM451:70,blink,120.12,2.07,2.97,0.04,
23:09:13.249,VM451:70,blink,17.37,0.36,0.64,-0.06,
23:09:17.366,VM451:70,blink,86.54,0.65,0.97,-0.02,
23:09:17.398,VM451:70,blink,15.87,0.47,0.86,-0.08,
23:09:17.432,VM451:70,blink,13.29,0.49,0.61,-0.08,
23:09:39.243,VM451:70,blink,147.60,2.13,3.02,-0.03,
23:09:39.276,VM451:70,blink,20.55,0.64,1.27,-0.09,
23:09:46.879,VM451:70,blink,156.27,0.78,0.83,0.01,
23:09:46.920,VM451:70,blink,12.53,1.99,3.38,0.43,
23:10:23.479,VM451:70,blink,274.81,5.96,5.87,0.04,
23:10:24.098,VM451:70,blink,90.17,0.49,1.34,0.02,
23:10:24.138,VM451:70,blink,144.43,0.97,2.67,-0.03,
23:10:24.297,VM451:70,blink,13.43,1.29,1.25,-0.19,
23:11:01.464,VM451:70,blink,40.85,3.72,6.39,-0.25,
23:11:02.427,VM451:70,blink,18.52,1.50,2.38,-0.21,
23:11:23.483,VM451:70,blink,51.28,1.93,3.04,-0.10,
23:11:23.568,VM451:70,blink,60.93,3.02,2.68,0.09,
23:11:28.809,VM451:70,blink,12.14,1.55,2.22,0.31,
23:11:29.935,VM451:70,blink,16.07,0.35,0.90,0.08,
23:11:29.967,VM451:70,blink,35.38,1.90,3.11,0.14,
23:11:47.184,VM451:70,blink,37.61,0.11,0.44,0.01,
23:11:47.216,VM451:70,blink,143.65,1.86,2.46,-0.03,
23:11:47.681,VM451:70,blink,13.39,1.48,2.48,0.30,
23:11:48.346,VM451:70,blink,33.13,1.50,2.86,0.13,
23:11:48.380,VM451:70,blink,17.95,1.20,1.24,0.14,
23:12:06.844,VM451:70,blink,15.47,0.57,1.28,0.12,
23:12:06.878,VM451:70,blink,40.80,2.62,2.58,0.13,
23:12:06.909,VM451:70,blink,15.57,0.98,0.69,0.11,
23:12:13.112,VM451:70,blink,58.51,0.43,0.41,-0.01,
23:12:19.831,VM451:70,blink,32.49,0.40,0.67,0.03,
23:12:19.864,VM451:70,blink,35.12,0.68,1.10,-0.05,
23:12:19.897,VM451:70,blink,845.58,0.62,0.96,0.00,
23:12:30.333,VM451:70,blink,132.43,0.44,0.62,0.01,
23:12:30.370,VM451:70,blink,40.57,4.57,5.12,0.24,
23:12:30.807,VM451:70,blink,29.22,1.66,2.82,-0.15,
23:12:30.840,VM451:70,blink,48.51,1.64,2.46,0.08,
23:12:40.178,VM451:70,blink,27.29,1.99,3.16,0.19,
23:12:41.629,VM451:70,blink,22.38,0.33,1.12,-0.06,
23:12:41.664,VM451:70,blink,39.30,3.02,4.08,0.18,
23:12:59.716,VM451:70,blink,404.05,3.78,4.85,-0.02,
23:13:02.164,VM451:70,blink,18.48,0.33,0.65,-0.05,
23:13:11.860,VM451:70,blink,12.17,2.99,5.00,0.66,
23:13:30.407,VM451:70,blink,184.75,1.60,2.05,-0.02,
23:13:30.547,VM451:70,blink,46.77,-0.18,0.55,0.01,
23:13:40.188,VM451:70,blink,37.09,0.88,2.10,-0.08,
23:13:40.224,VM451:70,blink,12.74,1.21,1.03,0.18,
23:13:40.641,VM451:70,blink,19.34,0.13,0.54,-0.03,
23:13:41.020,VM451:70,blink,27.19,2.73,3.33,0.22,
23:13:42.931,VM451:70,blink,48.62,0.44,1.26,0.03,
23:13:43.895,VM451:70,blink,20.45,0.59,0.74,-0.07,
23:13:43.930,VM451:70,blink,20.27,1.56,1.51,0.15,
23:13:48.797,VM451:70,blink,13.77,1.05,2.10,0.23,
23:14:01.579,VM451:70,blink,37.01,0.88,1.14,0.05,
23:14:01.615,VM451:70,blink,25.05,1.66,1.78,-0.14,
23:14:12.976,VM451:70,blink,45.38,0.67,1.08,0.04,
23:14:52.471,VM451:70,blink,1940.68,2.48,3.39,0.00,
23:14:52.503,VM451:70,blink,14.19,1.31,2.06,-0.24,
23:15:15.726,VM451:70,blink,57.74,4.52,6.37,0.19,
23:15:44.981,VM451:70,blink,26.91,0.61,1.80,0.09,
23:15:45.013,VM451:70,blink,76.67,1.11,1.93,0.04,
23:16:16.045,VM451:70,blink,123.13,0.54,0.83,-0.01,
23:16:26.785,VM451:70,blink,75.88,3.39,2.88,-0.08,
23:16:56.592,VM451:70,blink,25.37,0.73,0.74,-0.06,
23:16:56.961,VM451:70,blink,190.40,2.04,1.74,0.02,
23:16:59.229,VM451:70,blink,25.10,0.94,0.90,0.07,
23:17:09.925,VM451:70,blink,15.32,0.29,0.86,-0.07,
23:17:09.972,VM451:70,blink,43.08,2.60,3.50,0.14,
23:17:15.292,VM451:70,blink,13.40,1.27,1.39,0.20,
23:17:19.823,VM451:70,blink,99.55,0.66,1.06,-0.02,
23:17:32.854,VM451:70,blink,18.75,1.09,1.14,0.12,
23:17:32.893,VM451:70,blink,56.21,3.28,3.45,0.12,
23:17:49.348,VM451:70,blink,27.80,2.28,3.55,-0.21,
23:17:49.381,VM451:70,blink,13.11,1.92,1.65,-0.27,
23:17:59.311,VM451:70,blink,27.86,0.09,0.42,-0.02,
23:18:17.975,VM451:70,blink,27.22,0.43,0.76,-0.04,
23:18:50.565,VM451:70,blink,29.52,0.42,0.48,0.03,
23:18:52.644,VM451:70,blink,20.16,1.15,1.29,0.12,
23:19:04.092,VM451:70,blink,15.14,0.44,0.39,-0.06,
23:19:52.232,VM451:70,blink,18.65,0.49,0.96,-0.08,
23:19:52.267,VM451:70,blink,36.70,0.72,1.28,-0.05,
23:20:06.149,VM451:70,blink,13.53,0.47,0.22,0.05,
23:20:06.182,VM451:70,blink,42.02,0.41,0.27,0.02,
23:20:07.765,VM451:70,blink,824.50,0.65,0.67,-0.00,
23:20:07.842,VM451:70,blink,16.18,0.52,0.44,0.06,
23:20:13.276,VM451:70,blink,36.82,0.89,1.42,-0.06,
23:45:29.846,VM179:70,blink,29.38,1.06,1.04,0.07,
23:45:32.016,VM179:70,blink,12.45,1.78,2.63,0.35,
23:45:37.056,VM179:70,blink,72.52,4.57,5.20,-0.13,
23:45:48.419,VM179:70,blink,12.27,3.39,4.52,0.64,
23:45:50.899,VM179:70,blink,25.06,0.96,1.35,-0.09,
23:45:50.933,VM179:70,blink,69.55,0.21,0.54,-0.01,
23:45:57.183,VM179:70,blink,16.95,0.77,0.54,0.08,
23:46:02.444,VM179:70,blink,24.28,4.25,4.74,0.37,
23:46:07.186,VM179:70,blink,24.58,3.77,4.11,-0.32,
23:46:32.329,VM179:70,blink,12.23,1.32,2.82,-0.34,
23:46:32.362,VM179:70,blink,20.70,2.50,2.74,-0.25,
23:46:39.524,VM179:70,blink,16.00,5.18,6.44,0.73,
23:46:54.855,VM179:70,blink,40.03,1.79,1.84,-0.09,
23:47:06.024,VM179:70,blink,106.29,1.44,1.41,-0.03,
23:47:12.248,VM179:70,blink,65.83,0.24,0.50,0.01,
23:47:12.283,VM179:70,blink,21.33,0.63,1.07,0.08,
23:47:12.419,VM179:70,blink,87.35,1.01,1.52,0.03,
23:47:12.454,VM179:70,blink,29.78,1.41,2.12,0.12,
23:47:17.942,VM179:70,blink,17.57,0.89,1.47,-0.13,
23:47:17.982,VM179:70,blink,45.13,1.59,1.47,-0.07,
23:47:33.943,VM179:70,blink,19.79,1.26,1.28,-0.13,
23:47:37.355,VM179:70,blink,12.10,2.99,3.73,0.56,
23:47:37.831,VM179:70,blink,44.93,0.64,0.13,0.02,
23:47:37.998,VM179:70,blink,46.73,1.22,-0.32,-0.02,
23:47:42.678,VM179:70,blink,39.36,0.50,0.90,0.04,
23:47:53.245,VM179:70,blink,40.17,0.45,1.43,0.05,
23:48:04.226,VM179:70,blink,43.30,2.88,2.85,0.13,
23:48:11.917,VM179:70,blink,26.06,0.70,1.46,-0.08,
23:48:11.953,VM179:70,blink,46.91,0.74,1.25,0.04,
23:48:20.780,VM179:70,blink,16.71,4.32,2.73,-0.42,
23:48:21.909,VM179:70,blink,67.87,0.94,0.96,-0.03,
23:48:26.777,VM179:70,blink,63.96,0.58,1.29,-0.03,
23:48:26.843,VM179:70,blink,12.88,0.78,1.29,-0.16,
23:48:41.970,VM179:70,blink,12.27,0.83,1.46,0.19,
23:48:42.003,VM179:70,blink,14.69,2.62,1.95,0.31,
23:48:52.527,VM179:70,blink,53.18,3.62,3.11,-0.13,
23:48:57.701,VM179:70,blink,18.43,1.82,2.01,0.21,
23:49:00.785,VM179:70,blink,22.13,3.63,5.69,0.42,
23:49:19.197,VM179:70,blink,40.25,2.79,3.40,0.15,
23:49:30.692,VM179:70,blink,115.78,4.03,4.63,0.07,
23:49:40.665,VM179:70,blink,46.89,3.22,2.47,0.12,
23:49:52.267,VM179:70,blink,51.34,0.51,0.72,0.02,
23:49:53.695,VM179:70,blink,17.81,2.93,4.10,0.39,
23:49:53.764,VM179:70,blink,81.15,3.64,2.62,0.08,
23:50:12.882,VM179:70,blink,16.82,1.25,1.50,-0.16,
